Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ABCC4	-1.95780082540509	8.78847241733746	-12.0404676183602	2.09256161730884e-06	0.000357682949779827	5.65492635158764
RPS6KA5	0.946348879299357	7.46536644048036	11.9906975026997	2.15966635497426e-06	0.000357762024201723	5.62303448069868
ADRA2A	-1.88710017571178	4.8504035490939	-11.9735941136885	2.18327994251949e-06	0.000357762024201723	5.61204194854871
NPC1	1.72883320370842	7.58696621644889	11.8884943261928	2.30514997151681e-06	0.000368570428945823	5.55709506319386
GLS2	-1.88612378416066	3.99569025169091	-11.7490422208325	2.52166515463465e-06	0.000392788196114648	5.46613590990781
C6orf168	-1.82518370546547	4.01735070910203	-11.7566825824539	2.50923031832057e-06	0.000392788196114648	5.4711492369057
LOC100134170	1.65309951635921	6.31296492473198	11.7437531439337	2.53031360309017e-06	0.000392788196114648	5.46266337249343
GPR177	-1.34483053181414	4.3248331163348	-11.6724345189824	2.65022974322904e-06	0.000403566889185611	5.41567578774401
TMEFF2	-7.47482049251222	8.21825076007454	-11.6507229677559	2.68798811134123e-06	0.000405455112379575	5.40131066065035
HOXA5	-1.74188798778169	7.4421304766565	-11.5818879962409	2.81173412432633e-06	0.000420157167419193	5.3555784047863
TOX3	3.83779160863178	5.8880765258337	11.5510425627536	2.86924263999675e-06	0.000422535238025818	5.3349919066577
NHP2L1	0.976471341151292	9.19864478127876	11.521543881772	2.92547334867249e-06	0.000425230848835677	5.31524976458036
MB	0.995999867188693	7.29509373451547	11.480622742209	3.0055294215437e-06	0.000430678858724708	5.28777448961095
LOC731789	-3.22257907784565	5.8415436936633	-11.4749466539897	3.01682607900227e-06	0.000430678858724708	5.28395529046624
TMEM14A	2.32725635967512	10.0081702898859	11.4130525956946	3.14313982535653e-06	0.000444740377589606	5.24217974729542
CCND1	-1.12314536452666	10.9323384072489	-11.3216507286173	3.34063161911244e-06	0.00046558815225241	5.18005031165667
MERTK	-2.04394590190983	4.84281260044292	-11.3051088958825	3.37783636633183e-06	0.00046558815225241	5.16874999024719
ITPRIP	1.19108068025925	5.72807207961912	11.3104001412091	3.36588550592985e-06	0.00046558815225241	5.17236651243718
MYCBP2	-1.71586893236179	7.45761778221246	-11.2816693856021	3.43135078331216e-06	0.000468921945934856	5.15270795028136
PURA	-1.47563469477089	6.99086426234882	-11.1845264100536	3.66347117539816e-06	0.000496400344266451	5.08584998726188
TNK2	-1.44573865504904	8.20845251368752	-11.1424907383623	3.76931433273398e-06	0.000506450141731795	5.05673147181377
DPYSL2	0.868079422211954	9.87529119563079	11.1087697013141	3.85669547181706e-06	0.000513872532490691	5.03328994516838
MMD	-1.7234212420865	7.87688793203278	-11.0047190186678	4.14092250653294e-06	0.000547183553363266	4.96049044992222
TAX1BP1	1.49326263025999	10.7092755812353	10.9323154170832	4.35250929845554e-06	0.000566984935023353	4.90941217222926
LOC728160	-1.73652984887798	8.20967667778467	-10.9206047505396	4.38785397509877e-06	0.000566984935023353	4.90111796807832
LOC401805	-2.59177391461023	5.65219166547524	-10.9175401556331	4.39715629138131e-06	0.000566984935023353	4.89894592562665
MOSC1	0.97674866489173	10.2643969860052	10.8752892560628	4.52767769575838e-06	0.000579144309419846	4.86893641170196
ZSCAN18	-2.06008106432181	7.93226339783719	-10.8629822986979	4.56650642920932e-06	0.000579475169020856	4.86017264003847
SESTD1	1.56569821128183	6.82977674452504	10.8399729798833	4.64010367139447e-06	0.00058417809135375	4.8437603764127
DIAPH2	1.30297799186275	7.22843927304966	10.7284855792372	5.01600029371866e-06	0.000626568974189591	4.76372960596078
CITED2	1.0696380578286	8.61975003069243	10.6466825155096	5.31346906957805e-06	0.000628575341439299	4.70446628414616
SLC2A8	-1.14246176032099	8.87429283946196	-10.6953044362569	5.13435739719735e-06	0.000628575341439299	4.73974669319552
TCEAL3	-3.9758203766486	8.31129298825503	-10.6631655019305	5.25197910492369e-06	0.000628575341439299	4.71644477123082
CERK	-1.6921541519007	3.86751477513065	-10.6378985026822	5.3465661664735e-06	0.000628575341439299	4.69807508726097
OPRL1	-1.92902329343209	4.77129650942032	-10.6497259688504	5.30205514909599e-06	0.000628575341439299	4.70667943446455
CHDH	0.937624094859552	7.86186132429689	10.6383845055836	5.34472895910465e-06	0.000628575341439299	4.69842884013349
STAG3L4	-1.14085728006021	6.70063274063875	-10.5871464049761	5.54236268084393e-06	0.000646838225576741	4.66104302613538
